date,resource_id,service,actual_cost,amortized_cost,usage_quantity,currency
2026-01-04,ecs-ml-prod-01,ECS,13.7106,13.7106,43.700,USD
2026-01-04,cce-dev-node-01,CCE_NODE,9.9647,9.9647,31.350,USD
2026-01-04,ecs-unallocated-01,ECS,4.4558,4.4558,13.775,USD
2026-01-05,ecs-prod-web-01,ECS,19.9506,19.9506,63.240,USD
2026-01-05,ecs-prod-web-02,ECS,17.0590,16.8032,52.020,USD
2026-01-05,cce-prod-node-a,CCE_NODE,24.6387,24.2692,75.480,USD
2026-01-05,cce-prod-node-b,CCE_NODE,24.9153,24.5415,75.480,USD
2026-01-05,ecs-dev-sandbox-01,ECS,6.9448,6.9448,21.420,USD
2026-01-05,ecs-qa-legacy-01,ECS,6.0281,6.0281,18.870,USD
2026-01-05,rds-orders-prod,RDS,22.2906,22.2906,70.380,USD
2026-01-05,rds-analytics-prod,RDS,16.5550,16.3067,53.040,USD
2026-01-05,evs-orphan-001,EVS,3.1494,3.1494,9.792,USD
2026-01-05,eip-unbound-001,EIP,1.2787,1.2787,3.876,USD
2026-01-05,obs-platform-logs,OBS,9.0061,9.0061,28.050,USD
2026-01-05,elb-legacy-001,ELB,2.7350,2.7350,8.364,USD
2026-01-05,ecs-ml-prod-01,ECS,15.4633,15.4633,46.920,USD
2026-01-05,cce-dev-node-01,CCE_NODE,10.6023,10.6023,33.660,USD
2026-01-05,ecs-unallocated-01,ECS,4.9163,4.9163,14.790,USD
2026-01-06,ecs-prod-web-01,ECS,20.2882,20.2882,63.240,USD
2026-01-06,ecs-prod-web-02,ECS,16.3456,16.1004,52.020,USD
2026-01-06,cce-prod-node-a,CCE_NODE,24.6620,24.2921,75.480,USD
2026-01-06,cce-prod-node-b,CCE_NODE,24.8466,24.4739,75.480,USD
2026-01-06,ecs-dev-sandbox-01,ECS,6.6775,6.6775,21.420,USD
2026-01-06,ecs-qa-legacy-01,ECS,6.2351,6.2351,18.870,USD
2026-01-06,rds-orders-prod,RDS,22.7440,22.7440,70.380,USD
2026-01-06,rds-analytics-prod,RDS,16.9532,16.6989,53.040,USD
2026-01-06,evs-orphan-001,EVS,3.0683,3.0683,9.792,USD
2026-01-06,eip-unbound-001,EIP,1.2203,1.2203,3.876,USD
2026-01-06,obs-platform-logs,OBS,9.3014,9.3014,28.050,USD
2026-01-06,elb-legacy-001,ELB,2.6412,2.6412,8.364,USD
2026-01-06,ecs-ml-prod-01,ECS,15.6075,15.6075,46.920,USD
2026-01-06,cce-dev-node-01,CCE_NODE,10.8891,10.8891,33.660,USD
2026-01-06,ecs-unallocated-01,ECS,4.7823,4.7823,14.790,USD
2026-01-07,ecs-prod-web-01,ECS,21.0264,21.0264,63.240,USD
2026-01-07,ecs-prod-web-02,ECS,16.9104,16.6567,52.020,USD
2026-01-07,cce-prod-node-a,CCE_NODE,23.9610,23.6016,75.480,USD
2026-01-07,cce-prod-node-b,CCE_NODE,24.8021,24.4301,75.480,USD
2026-01-07,ecs-dev-sandbox-01,ECS,6.7790,6.7790,21.420,USD
2026-01-07,ecs-qa-legacy-01,ECS,6.1595,6.1595,18.870,USD
2026-01-07,rds-orders-prod,RDS,22.5186,22.5186,70.380,USD
2026-01-07,rds-analytics-prod,RDS,17.2411,16.9825,53.040,USD
2026-01-07,evs-orphan-001,EVS,3.2332,3.2332,9.792,USD
2026-01-07,eip-unbound-001,EIP,1.2233,1.2233,3.876,USD
2026-01-07,obs-platform-logs,OBS,9.1157,9.1157,28.050,USD
2026-01-07,elb-legacy-001,ELB,2.6711,2.6711,8.364,USD
2026-01-07,ecs-ml-prod-01,ECS,15.6087,15.6087,46.920,USD
2026-01-07,cce-dev-node-01,CCE_NODE,10.8359,10.8359,33.660,USD
2026-01-07,ecs-unallocated-01,ECS,4.6849,4.6849,14.790,USD
2026-01-08,ecs-prod-web-01,ECS,20.1694,20.1694,63.240,USD
2026-01-08,ecs-prod-web-02,ECS,16.6011,16.3520,52.020,USD
2026-01-08,cce-prod-node-a,CCE_NODE,24.9606,24.5862,75.480,USD
2026-01-08,cce-prod-node-b,CCE_NODE,24.1791,23.8164,75.480,USD
2026-01-08,ecs-dev-sandbox-01,ECS,7.1009,7.1009,21.420,USD
2026-01-08,ecs-qa-legacy-01,ECS,5.9968,5.9968,18.870,USD
2026-01-08,rds-orders-prod,RDS,22.3269,22.3269,70.380,USD
2026-01-08,rds-analytics-prod,RDS,17.3552,17.0948,53.040,USD
2026-01-08,evs-orphan-001,EVS,3.1116,3.1116,9.792,USD
2026-01-08,eip-unbound-001,EIP,1.2712,1.2712,3.876,USD
2026-01-08,obs-platform-logs,OBS,9.3028,9.3028,28.050,USD
2026-01-08,elb-legacy-001,ELB,2.6425,2.6425,8.364,USD
2026-01-08,ecs-ml-prod-01,ECS,15.2046,15.2046,46.920,USD
2026-01-08,cce-dev-node-01,CCE_NODE,10.8518,10.8518,33.660,USD
2026-01-08,ecs-unallocated-01,ECS,4.6062,4.6062,14.790,USD
2026-01-09,ecs-prod-web-01,ECS,20.6316,20.6316,63.240,USD
2026-01-09,ecs-prod-web-02,ECS,16.7430,16.4919,52.020,USD
2026-01-09,cce-prod-node-a,CCE_NODE,23.5046,23.1521,75.480,USD
2026-01-09,cce-prod-node-b,CCE_NODE,23.6440,23.2893,75.480,USD
2026-01-09,ecs-dev-sandbox-01,ECS,6.9079,6.9079,21.420,USD
2026-01-09,ecs-qa-legacy-01,ECS,6.2445,6.2445,18.870,USD
2026-01-09,rds-orders-prod,RDS,23.2725,23.2725,70.380,USD
2026-01-09,rds-analytics-prod,RDS,16.6626,16.4127,53.040,USD
2026-01-09,evs-orphan-001,EVS,3.1767,3.1767,9.792,USD
2026-01-09,eip-unbound-001,EIP,1.2276,1.2276,3.876,USD
2026-01-09,obs-platform-logs,OBS,8.9840,8.9840,28.050,USD
2026-01-09,elb-legacy-001,ELB,2.6208,2.6208,8.364,USD
2026-01-09,ecs-ml-prod-01,ECS,15.6014,15.6014,46.920,USD
2026-01-09,cce-dev-node-01,CCE_NODE,10.7025,10.7025,33.660,USD
2026-01-09,ecs-unallocated-01,ECS,4.6501,4.6501,14.790,USD
2026-01-10,ecs-prod-web-01,ECS,19.4472,19.4472,58.900,USD
2026-01-10,ecs-prod-web-02,ECS,15.9784,15.7387,48.450,USD
2026-01-10,cce-prod-node-a,CCE_NODE,23.3873,23.0365,70.300,USD
2026-01-10,cce-prod-node-b,CCE_NODE,23.1628,22.8154,70.300,USD
2026-01-10,ecs-dev-sandbox-01,ECS,6.3166,6.3166,19.950,USD
2026-01-10,ecs-qa-legacy-01,ECS,5.6575,5.6575,17.575,USD
2026-01-10,rds-orders-prod,RDS,21.6915,21.6915,65.550,USD
2026-01-10,rds-analytics-prod,RDS,15.4657,15.2337,49.400,USD
2026-01-10,evs-orphan-001,EVS,2.9831,2.9831,9.120,USD
2026-01-10,eip-unbound-001,EIP,1.1317,1.1317,3.610,USD
2026-01-10,obs-platform-logs,OBS,8.2318,8.2318,26.125,USD
2026-01-10,elb-legacy-001,ELB,2.5484,2.5484,7.790,USD
2026-01-10,ecs-ml-prod-01,ECS,14.3675,14.3675,43.700,USD
2026-01-10,cce-dev-node-01,CCE_NODE,10.0715,10.0715,31.350,USD
2026-01-10,ecs-unallocated-01,ECS,4.5762,4.5762,13.775,USD
2026-01-11,ecs-prod-web-01,ECS,18.7874,18.7874,58.900,USD
2026-01-11,ecs-prod-web-02,ECS,15.4437,15.2120,48.450,USD
2026-01-11,cce-prod-node-a,CCE_NODE,22.5621,22.2237,70.300,USD
2026-01-11,cce-prod-node-b,CCE_NODE,22.8679,22.5249,70.300,USD
2026-01-11,ecs-dev-sandbox-01,ECS,6.4940,6.4940,19.950,USD
2026-01-11,ecs-qa-legacy-01,ECS,5.6180,5.6180,17.575,USD
2026-01-11,rds-orders-prod,RDS,20.8339,20.8339,65.550,USD
2026-01-11,rds-analytics-prod,RDS,16.1800,15.9373,49.400,USD
2026-01-11,evs-orphan-001,EVS,2.8497,2.8497,9.120,USD
2026-01-11,eip-unbound-001,EIP,1.1546,1.1546,3.610,USD
2026-01-11,obs-platform-logs,OBS,8.2672,8.2672,26.125,USD
2026-01-11,elb-legacy-001,ELB,2.5415,2.5415,7.790,USD
2026-01-11,ecs-ml-prod-01,ECS,13.9507,13.9507,43.700,USD
2026-01-11,cce-dev-node-01,CCE_NODE,10.4157,10.4157,31.350,USD
2026-01-11,ecs-unallocated-01,ECS,4.5037,4.5037,13.775,USD
2026-01-12,ecs-prod-web-01,ECS,21.0017,21.0017,63.240,USD
2026-01-12,ecs-prod-web-02,ECS,16.3233,16.0784,52.020,USD
2026-01-12,cce-prod-node-a,CCE_NODE,24.0171,23.6568,75.480,USD
2026-01-12,cce-prod-node-b,CCE_NODE,23.8402,23.4826,75.480,USD
2026-01-12,ecs-dev-sandbox-01,ECS,7.1366,7.1366,21.420,USD
2026-01-12,ecs-qa-legacy-01,ECS,5.9079,5.9079,18.870,USD
2026-01-12,rds-orders-prod,RDS,23.2910,23.2910,70.380,USD
2026-01-12,rds-analytics-prod,RDS,16.5609,16.3124,53.040,USD
2026-01-12,evs-orphan-001,EVS,3.0517,3.0517,9.792,USD
2026-01-12,eip-unbound-001,EIP,1.2362,1.2362,3.876,USD
2026-01-12,obs-platform-logs,OBS,9.1477,9.1477,28.050,USD
2026-01-12,elb-legacy-001,ELB,2.6733,2.6733,8.364,USD
2026-01-12,ecs-ml-prod-01,ECS,15.5433,15.5433,46.920,USD
2026-01-12,cce-dev-node-01,CCE_NODE,10.8017,10.8017,33.660,USD
2026-01-12,ecs-unallocated-01,ECS,4.8211,4.8211,14.790,USD
2026-01-13,ecs-prod-web-01,ECS,20.8951,20.8951,63.240,USD
2026-01-13,ecs-prod-web-02,ECS,17.3032,17.0436,52.020,USD
2026-01-13,cce-prod-node-a,CCE_NODE,25.1750,24.7973,75.480,USD
2026-01-13,cce-prod-node-b,CCE_NODE,24.7064,24.3358,75.480,USD
2026-01-13,ecs-dev-sandbox-01,ECS,7.1456,7.1456,21.420,USD
2026-01-13,ecs-qa-legacy-01,ECS,5.9636,5.9636,18.870,USD
2026-01-13,rds-orders-prod,RDS,23.4759,23.4759,70.380,USD
2026-01-13,rds-analytics-prod,RDS,16.7588,16.5074,53.040,USD
2026-01-13,evs-orphan-001,EVS,3.1150,3.1150,9.792,USD
2026-01-13,eip-unbound-001,EIP,1.2071,1.2071,3.876,USD
2026-01-13,obs-platform-logs,OBS,8.8441,8.8441,28.050,USD
2026-01-13,elb-legacy-001,ELB,2.7301,2.7301,8.364,USD
2026-01-13,ecs-ml-prod-01,ECS,15.3020,15.3020,46.920,USD
2026-01-13,cce-dev-node-01,CCE_NODE,11.1538,11.1538,33.660,USD
2026-01-13,ecs-unallocated-01,ECS,4.7956,4.7956,14.790,USD
2026-01-14,ecs-prod-web-01,ECS,20.4906,20.4906,63.240,USD
2026-01-14,ecs-prod-web-02,ECS,16.6941,16.4437,52.020,USD
2026-01-14,cce-prod-node-a,CCE_NODE,23.6546,23.2998,75.480,USD
2026-01-14,cce-prod-node-b,CCE_NODE,24.6795,24.3093,75.480,USD
2026-01-14,ecs-dev-sandbox-01,ECS,6.8547,6.8547,21.420,USD
2026-01-14,ecs-qa-legacy-01,ECS,6.1106,6.1106,18.870,USD
2026-01-14,rds-orders-prod,RDS,22.9990,22.9990,70.380,USD
2026-01-14,rds-analytics-prod,RDS,17.0914,16.8350,53.040,USD
2026-01-14,evs-orphan-001,EVS,3.1874,3.1874,9.792,USD
2026-01-14,eip-unbound-001,EIP,1.2713,1.2713,3.876,USD
2026-01-14,obs-platform-logs,OBS,8.9429,8.9429,28.050,USD
2026-01-14,elb-legacy-001,ELB,2.6869,2.6869,8.364,USD
2026-01-14,ecs-ml-prod-01,ECS,15.1151,15.1151,46.920,USD
2026-01-14,cce-dev-node-01,CCE_NODE,10.6725,10.6725,33.660,USD
2026-01-14,ecs-unallocated-01,ECS,4.8057,4.8057,14.790,USD
2026-01-15,ecs-prod-web-01,ECS,20.9442,20.9442,63.240,USD
2026-01-15,ecs-prod-web-02,ECS,16.5050,16.2574,52.020,USD
2026-01-15,cce-prod-node-a,CCE_NODE,25.0652,24.6892,75.480,USD
2026-01-15,cce-prod-node-b,CCE_NODE,24.7599,24.3885,75.480,USD
2026-01-15,ecs-dev-sandbox-01,ECS,6.8063,6.8063,21.420,USD
2026-01-15,ecs-qa-legacy-01,ECS,6.1609,6.1609,18.870,USD
2026-01-15,rds-orders-prod,RDS,23.3441,23.3441,70.380,USD
2026-01-15,rds-analytics-prod,RDS,16.7741,16.5225,53.040,USD
2026-01-15,evs-orphan-001,EVS,3.1846,3.1846,9.792,USD
2026-01-15,eip-unbound-001,EIP,1.2656,1.2656,3.876,USD
2026-01-15,obs-platform-logs,OBS,9.0608,9.0608,28.050,USD
2026-01-15,elb-legacy-001,ELB,2.6766,2.6766,8.364,USD
2026-01-15,ecs-ml-prod-01,ECS,15.3222,15.3222,46.920,USD
2026-01-15,cce-dev-node-01,CCE_NODE,10.6026,10.6026,33.660,USD
2026-01-15,ecs-unallocated-01,ECS,4.9088,4.9088,14.790,USD
2026-01-16,ecs-prod-web-01,ECS,19.7417,19.7417,63.240,USD
2026-01-16,ecs-prod-web-02,ECS,17.3309,17.0709,52.020,USD
2026-01-16,cce-prod-node-a,CCE_NODE,24.3593,23.9939,75.480,USD
2026-01-16,cce-prod-node-b,CCE_NODE,24.4026,24.0366,75.480,USD
2026-01-16,ecs-dev-sandbox-01,ECS,7.0920,7.0920,21.420,USD
2026-01-16,ecs-qa-legacy-01,ECS,6.2180,6.2180,18.870,USD
2026-01-16,rds-orders-prod,RDS,23.4032,23.4032,70.380,USD
2026-01-16,rds-analytics-prod,RDS,16.7587,16.5073,53.040,USD
2026-01-16,evs-orphan-001,EVS,3.1945,3.1945,9.792,USD
2026-01-16,eip-unbound-001,EIP,1.2307,1.2307,3.876,USD
2026-01-16,obs-platform-logs,OBS,9.2269,9.2269,28.050,USD
2026-01-16,elb-legacy-001,ELB,2.7130,2.7130,8.364,USD
2026-01-16,ecs-ml-prod-01,ECS,15.4000,15.4000,46.920,USD
2026-01-16,cce-dev-node-01,CCE_NODE,11.2292,11.2292,33.660,USD
2026-01-16,ecs-unallocated-01,ECS,4.8625,4.8625,14.790,USD
2026-01-17,ecs-prod-web-01,ECS,19.1241,19.1241,58.900,USD
2026-01-17,ecs-prod-web-02,ECS,15.5417,15.3086,48.450,USD
2026-01-17,cce-prod-node-a,CCE_NODE,22.5047,22.1671,70.300,USD
2026-01-17,cce-prod-node-b,CCE_NODE,23.0343,22.6888,70.300,USD
2026-01-17,ecs-dev-sandbox-01,ECS,6.4753,6.4753,19.950,USD
2026-01-17,ecs-qa-legacy-01,ECS,5.7984,5.7984,17.575,USD
2026-01-17,rds-orders-prod,RDS,20.4475,20.4475,65.550,USD
2026-01-17,rds-analytics-prod,RDS,15.9066,15.6680,49.400,USD
2026-01-17,evs-orphan-001,EVS,2.9504,2.9504,9.120,USD
2026-01-17,eip-unbound-001,EIP,1.1966,1.1966,3.610,USD
2026-01-17,obs-platform-logs,OBS,8.7102,8.7102,26.125,USD
2026-01-17,elb-legacy-001,ELB,2.5349,2.5349,7.790,USD
2026-01-17,ecs-ml-prod-01,ECS,14.2090,14.2090,43.700,USD
2026-01-17,cce-dev-node-01,CCE_NODE,10.4633,10.4633,31.350,USD
2026-01-17,ecs-unallocated-01,ECS,4.5116,4.5116,13.775,USD
2026-01-18,ecs-prod-web-01,ECS,18.9023,18.9023,58.900,USD
2026-01-18,ecs-prod-web-02,ECS,15.9141,15.6754,48.450,USD
2026-01-18,cce-prod-node-a,CCE_NODE,22.8716,22.5285,70.300,USD
2026-01-18,cce-prod-node-b,CCE_NODE,22.8355,22.4930,70.300,USD
2026-01-18,ecs-dev-sandbox-01,ECS,6.4234,6.4234,19.950,USD
2026-01-18,ecs-qa-legacy-01,ECS,5.8075,5.8075,17.575,USD
2026-01-18,rds-orders-prod,RDS,21.6562,21.6562,65.550,USD
2026-01-18,rds-analytics-prod,RDS,16.1154,15.8737,49.400,USD
2026-01-18,evs-orphan-001,EVS,2.9137,2.9137,9.120,USD
2026-01-18,eip-unbound-001,EIP,1.1451,1.1451,3.610,USD
2026-01-18,obs-platform-logs,OBS,8.6092,8.6092,26.125,USD
2026-01-18,elb-legacy-001,ELB,2.5152,2.5152,7.790,USD
2026-01-18,ecs-ml-prod-01,ECS,13.6161,13.6161,43.700,USD
2026-01-18,cce-dev-node-01,CCE_NODE,10.1343,10.1343,31.350,USD
2026-01-18,ecs-unallocated-01,ECS,4.4331,4.4331,13.775,USD
2026-01-19,ecs-prod-web-01,ECS,20.8841,20.8841,63.240,USD
2026-01-19,ecs-prod-web-02,ECS,16.9395,16.6855,52.020,USD
2026-01-19,cce-prod-node-a,CCE_NODE,24.3645,23.9990,75.480,USD
2026-01-19,cce-prod-node-b,CCE_NODE,24.8354,24.4629,75.480,USD
2026-01-19,ecs-dev-sandbox-01,ECS,6.7412,6.7412,21.420,USD
2026-01-19,ecs-qa-legacy-01,ECS,6.1461,6.1461,18.870,USD
2026-01-19,rds-orders-prod,RDS,22.0664,22.0664,70.380,USD
2026-01-19,rds-analytics-prod,RDS,16.8489,16.5962,53.040,USD
2026-01-19,evs-orphan-001,EVS,3.2637,3.2637,9.792,USD
2026-01-19,eip-unbound-001,EIP,1.2683,1.2683,3.876,USD
2026-01-19,obs-platform-logs,OBS,9.2716,9.2716,28.050,USD
2026-01-19,elb-legacy-001,ELB,2.7862,2.7862,8.364,USD
2026-01-19,ecs-ml-prod-01,ECS,15.2682,15.2682,46.920,USD
2026-01-19,cce-dev-node-01,CCE_NODE,10.7072,10.7072,33.660,USD
2026-01-19,ecs-unallocated-01,ECS,4.7210,4.7210,14.790,USD
2026-01-20,ecs-prod-web-01,ECS,20.8438,20.8438,63.240,USD
2026-01-20,ecs-prod-web-02,ECS,17.3098,17.0502,52.020,USD
2026-01-20,cce-prod-node-a,CCE_NODE,23.7344,23.3783,75.480,USD
2026-01-20,cce-prod-node-b,CCE_NODE,25.1617,24.7843,75.480,USD
2026-01-20,ecs-dev-sandbox-01,ECS,6.8303,6.8303,21.420,USD
2026-01-20,ecs-qa-legacy-01,ECS,6.1930,6.1930,18.870,USD
2026-01-20,rds-orders-prod,RDS,22.3321,22.3321,70.380,USD
2026-01-20,rds-analytics-prod,RDS,17.3929,17.1320,53.040,USD
2026-01-20,evs-orphan-001,EVS,3.1031,3.1031,9.792,USD
2026-01-20,eip-unbound-001,EIP,1.2742,1.2742,3.876,USD
2026-01-20,obs-platform-logs,OBS,8.9951,8.9951,28.050,USD
2026-01-20,elb-legacy-001,ELB,2.7089,2.7089,8.364,USD
2026-01-20,ecs-ml-prod-01,ECS,14.8638,14.8638,46.920,USD
2026-01-20,cce-dev-node-01,CCE_NODE,10.5725,10.5725,33.660,USD
2026-01-20,ecs-unallocated-01,ECS,4.9247,4.9247,14.790,USD
2026-01-21,ecs-prod-web-01,ECS,19.8722,19.8722,63.240,USD
2026-01-21,ecs-prod-web-02,ECS,16.5888,16.3400,52.020,USD
2026-01-21,cce-prod-node-a,CCE_NODE,24.2016,23.8386,75.480,USD
2026-01-21,cce-prod-node-b,CCE_NODE,25.1337,24.7566,75.480,USD
2026-01-21,ecs-dev-sandbox-01,ECS,6.8831,6.8831,21.420,USD
2026-01-21,ecs-qa-legacy-01,ECS,5.9594,5.9594,18.870,USD
2026-01-21,rds-orders-prod,RDS,22.8890,22.8890,70.380,USD
2026-01-21,rds-analytics-prod,RDS,17.2108,16.9526,53.040,USD
2026-01-21,evs-orphan-001,EVS,3.2583,3.2583,9.792,USD
2026-01-21,eip-unbound-001,EIP,1.2358,1.2358,3.876,USD
2026-01-21,obs-platform-logs,OBS,9.2563,9.2563,28.050,USD
2026-01-21,elb-legacy-001,ELB,2.7840,2.7840,8.364,USD
2026-01-21,ecs-ml-prod-01,ECS,15.4882,15.4882,46.920,USD
2026-01-21,cce-dev-node-01,CCE_NODE,11.2178,11.2178,33.660,USD
2026-01-21,ecs-unallocated-01,ECS,4.7208,4.7208,14.790,USD
2026-01-22,ecs-prod-web-01,ECS,20.3181,20.3181,63.240,USD
2026-01-22,ecs-prod-web-02,ECS,16.9578,16.7035,52.020,USD
2026-01-22,cce-prod-node-a,CCE_NODE,25.0923,24.7159,75.480,USD
2026-01-22,cce-prod-node-b,CCE_NODE,24.4764,24.1093,75.480,USD
2026-01-22,ecs-dev-sandbox-01,ECS,6.8773,6.8773,21.420,USD
2026-01-22,ecs-qa-legacy-01,ECS,6.1502,6.1502,18.870,USD
2026-01-22,rds-orders-prod,RDS,22.8802,22.8802,70.380,USD
2026-01-22,rds-analytics-prod,RDS,17.0687,16.8127,53.040,USD
2026-01-22,evs-orphan-001,EVS,3.1193,3.1193,9.792,USD
2026-01-22,eip-unbound-001,EIP,1.2101,1.2101,3.876,USD
2026-01-22,obs-platform-logs,OBS,8.9754,8.9754,28.050,USD
2026-01-22,elb-legacy-001,ELB,2.7564,2.7564,8.364,USD
2026-01-22,ecs-ml-prod-01,ECS,14.7326,14.7326,46.920,USD
2026-01-22,cce-dev-node-01,CCE_NODE,11.0356,11.0356,33.660,USD
2026-01-22,ecs-unallocated-01,ECS,4.8514,4.8514,14.790,USD
2026-01-23,ecs-prod-web-01,ECS,20.1900,20.1900,63.240,USD
2026-01-23,ecs-prod-web-02,ECS,16.5679,16.3194,52.020,USD
2026-01-23,cce-prod-node-a,CCE_NODE,25.0758,24.6997,75.480,USD
2026-01-23,cce-prod-node-b,CCE_NODE,24.4197,24.0534,75.480,USD
2026-01-23,ecs-dev-sandbox-01,ECS,7.0380,7.0380,21.420,USD
2026-01-23,ecs-qa-legacy-01,ECS,6.1266,6.1266,18.870,USD
2026-01-23,rds-orders-prod,RDS,23.1320,23.1320,70.380,USD
2026-01-23,rds-analytics-prod,RDS,16.9784,16.7237,53.040,USD
2026-01-23,evs-orphan-001,EVS,3.1914,3.1914,9.792,USD
2026-01-23,eip-unbound-001,EIP,1.2524,1.2524,3.876,USD
2026-01-23,obs-platform-logs,OBS,9.0528,9.0528,28.050,USD
2026-01-23,elb-legacy-001,ELB,2.7067,2.7067,8.364,USD
2026-01-23,ecs-ml-prod-01,ECS,14.8732,14.8732,46.920,USD
2026-01-23,cce-dev-node-01,CCE_NODE,10.9719,10.9719,33.660,USD
2026-01-23,ecs-unallocated-01,ECS,4.8746,4.8746,14.790,USD
2026-01-24,ecs-prod-web-01,ECS,18.8507,18.8507,58.900,USD
2026-01-24,ecs-prod-web-02,ECS,15.6852,15.4499,48.450,USD
2026-01-24,cce-prod-node-a,CCE_NODE,22.8441,22.5014,70.300,USD
2026-01-24,cce-prod-node-b,CCE_NODE,21.9621,21.6327,70.300,USD
2026-01-24,ecs-dev-sandbox-01,ECS,6.2826,6.2826,19.950,USD
2026-01-24,ecs-qa-legacy-01,ECS,5.8356,5.8356,17.575,USD
2026-01-24,rds-orders-prod,RDS,20.4990,20.4990,65.550,USD
2026-01-24,rds-analytics-prod,RDS,15.3933,15.1624,49.400,USD
2026-01-24,evs-orphan-001,EVS,3.0417,3.0417,9.120,USD
